question,answer
Пересорт (попадание наладочного брака),"Нарушено правило изоляции/идентификации наладочного брака Что бы исправить Ревизия рабочего места, эргономика рабочего места"
Пересорт (попадание наладочного брака),Нарушено правило изоляции/идентификации наладочного брака Что бы исправить Утилизация забракованной продукции
"Детали не попали в выборку на оп. 110 Развальцовка - согласно ПУ-108.00 - 1 трубка через каждые 10шт. калибром-скобой 8114-7889
Визуально невидимый дефект",Достаточная выборка заложенная планом управления и технологическим процессом Что бы исправить Геометрия завальцовки трубки гарантируется настройкой оснастки и стабильной работы оборудования 
Не верная наладка оснастки (установка и регулировка упора),"Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования и после замены инструмента Что бы исправить Скорректировать ПУ-108.00, увеличить обьем выборки контроль геометрии развальцовки при запуске оборудования и после замены инструмента
Ознакомить персонал с актуализированным ПУ-108.00"
В ПУ заложен контроль наладчиком 1 изделия (трубки) при запуске оборудования и после замены инструмента,"Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования и после замены инструмента Что бы исправить Скорректировать ПУ-108.00, увеличить обьем выборки контроль геометрии развальцовки при запуске оборудования и после замены инструмента
Ознакомить персонал с актуализированным ПУ-108.00"
Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования и после замены инструмента,"Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования и после замены инструмента Что бы исправить Скорректировать ПУ-108.00, увеличить обьем выборки контроль геометрии развальцовки при запуске оборудования и после замены инструмента
Ознакомить персонал с актуализированным ПУ-108.00"
Не верная наладка оснастки (установка и регулировка упора),"Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования Что бы исправить Скорректировать РИ-108.00.105, увеличить обьем выборки контроль геометрии развальцовки при запуске оборудования и после замены инструмента
Ознакомить персонал с актуализированным РИ-108.00.105"
В РИ-108.00.105 заложен контроль наладчиком 3 изделий (трубки) при запуске оборудования,"Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования Что бы исправить Скорректировать РИ-108.00.105, увеличить обьем выборки контроль геометрии развальцовки при запуске оборудования и после замены инструмента
Ознакомить персонал с актуализированным РИ-108.00.105"
Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования,"Для стабильности процесса недостаточное количество годных подряд изделий при запуске оборудования Что бы исправить Скорректировать РИ-108.00.105, увеличить обьем выборки контроль геометрии развальцовки при запуске оборудования и после замены инструмента
Ознакомить персонал с актуализированным РИ-108.00.105"
"Нарушение целостности упаковки, механические повреждения, загрязнение",Нарушение правил транспортировки Что бы исправить Визуальный контроль
Длина заготовки меньше ,Самопроизвольное перемещение трубки при выключении станка Что бы исправить Проверка первой детали
Длина заготовки меньше ,"Не соответствующее давление на ремнях транспортера Что бы исправить Длина трубки автоматически контролируется, датчиком, который находится после узла осуществляющего подачу трубы."
Длина заготовки больше,Ошибка при наборе длины заготовки на пульте Что бы исправить Проверка первой детали
"Эллипсность трубки выходит за пределы заданного параметра 4,76±0,08мм",Не соответствующее давление на ремнях транспортера Что бы исправить Контроль давления на ремнях транспортера (от 2 до 4 бар) в течении смены
Коррозия,Не надежный процесс изготовления и контроля. Что бы исправить Измерение на входном контроле
Качество реза,Износ рабочей части (лезвия) режущего инструмента Что бы исправить 100% контроль качества реза при выполнении операции
Кривизна заготовки превышает 5мм на 1м,Сбой положения правильных роликов Что бы исправить Проверка первой детали
Жидкости во внутренней полости трубы,Не надежный процесс изготовления и контроля. Что бы исправить Проверка первой детали
Деформация,Износ роликов Что бы исправить Проверка первой детали
"Несоответствие диаметр отверстия трубки (2,4 мм min)",Износ рабочей части (лезвия) режущего инструмента Что бы исправить Контроль в начале смены и периодически каждые 4 часа
Длина заготовки меньше ,Самопроизвольное перемещение трубки при выключении станка Что бы исправить Проверка первой детали
Длина заготовки меньше ,"Не соответствующее давление на ремнях транспортера Что бы исправить Длина трубки автоматически контролируется, датчиком, который находится после узла осуществляющего подачу трубы."
Длина заготовки больше,Ошибка при наборе длины заготовки на пульте Что бы исправить Проверка первой детали
"Эллипсность трубки выходит за пределы заданного параметра 4,76±0,08мм",Не соответствующее давление на ремнях транспортера Что бы исправить Контроль давления на ремнях транспортера (от 2 до 4 бар) в течении смены
